"FullScaleV9_NoCameraTransonicSweep1_041626: Cell Count","FullScaleV9_NoCameraTransonicSweep1_041626: Center of Loads (m)","FullScaleV9_NoCameraTransonicSweep1_041626: Drag BEAVS (N)","FullScaleV9_NoCameraTransonicSweep1_041626: Drag Camera Pod (N)","FullScaleV9_NoCameraTransonicSweep1_041626: Drag Center Body (N)","FullScaleV9_NoCameraTransonicSweep1_041626: Drag Coefficient","FullScaleV9_NoCameraTransonicSweep1_041626: Drag Fins (N)","FullScaleV9_NoCameraTransonicSweep1_041626: Drag Nose (N)","FullScaleV9_NoCameraTransonicSweep1_041626: Drag of all external components (N)","FullScaleV9_NoCameraTransonicSweep1_041626: Drag Tail & Base (N)","FullScaleV9_NoCameraTransonicSweep1_041626: Total Solver CPU Time (s)","FullScaleV9_NoCameraTransonicSweep1_041626: Total Solver Elapsed Time (s)"
2039925.0,0.10051519516329842,0.07523355761871307,0.0,12.685772894757921,0.3945232532614334,28.72027641562498,-85.84971630962858,148.8555811423363,193.22401458396325,11803.995836,1490.1271954100005
2043712.0,0.1143462465553638,0.08135660647104465,0.0,14.26778124320213,0.43484647860821746,31.761065869485844,-58.4466427941091,186.6749034854549,199.011342560405,10928.388221999985,1382.4229341780003
2053838.0,0.13349762624463965,0.09228321403142958,0.0,16.71743580638003,0.49585564385682823,35.600836847786915,-23.554380370772915,240.30516119530327,211.44898569787782,10982.768975999985,1390.4978144149995
2083646.0,0.15856723870095,0.09695455501986752,0.0,18.64239766010076,0.5536661087254859,40.130185127862276,19.547785310005082,300.8174011445383,222.4000784915503,11198.055953000005,1410.7160006120002
2150632.0,0.19778359754260427,0.10645592432778503,0.0,20.882052084272974,0.64686735606084,66.3720602423497,71.70684692619074,391.5907717214061,232.52335654426497,11877.837583999995,1496.313441907002
2244535.0,0.23387645434635962,0.11856527946737591,0.0,22.871108962998797,0.7587570358633062,72.73538900875761,120.73592568670199,498.8191199663986,282.3581310284728,12049.349176999998,1516.4817078630008
2041257.0,0.10137160425956485,8.239981131232266,0.0,12.0518261172208,0.4096049078216197,28.684827898374863,-85.84474829324154,154.54596424545048,191.41407739186408,11674.407032000005,1469.2635978370013
2045784.0,0.11519668606957995,9.2541385728656,0.0,13.244735543136102,0.44456178460192874,31.494877255554833,-58.45007312915215,190.8455795698339,195.30190132742953,11169.781144999992,1410.7071029019987
2055676.0,0.13455770257583785,11.122452907922336,0.0,15.429901882358434,0.5058416361147338,35.23902793730637,-23.56380898158805,245.14464524466484,206.9170714986658,10595.727256999991,1334.7815277580014
2083785.0,0.16011833315885135,13.473255928501358,0.0,17.993704016349117,0.5751831019213952,40.1886484369705,19.532052736200207,312.50799565923234,221.32033454121114,11228.627324000001,1413.3891191480016
2149839.0,0.19922028505636383,15.797055063174419,0.0,20.072200809624526,0.6689060880456474,65.78698528132719,71.68137966844867,404.93224580389216,231.5946249813173,11289.554266999985,1421.8727741019993
2255298.0,0.23504518885214082,19.97233410084334,0.0,23.460323756157084,0.8027416053976776,74.29662099800503,120.68815297612186,527.7352857878758,289.31785395674854,11496.973557999987,1451.8749073770002
2043356.0,0.10167140984112209,14.598009817329872,0.0,11.402894299879604,0.42057212866769045,28.48788690775122,-85.85506738266375,158.68395109175788,190.05022744946092,12137.594028000005,1528.6071373410005
2047828.0,0.11575872863830568,17.03732180335571,0.0,12.985987260261863,0.46383331561636254,31.58216936756603,-58.45395168836293,199.11863999256212,195.96711324974146,11635.636194999997,1464.610190925
2058986.0,0.13518744660690957,20.663864554298534,0.0,15.138918592594028,0.5248703493814368,35.26333418679971,-23.56233148894484,254.36647838409885,206.86269253935143,11762.032257999997,1480.6801438249993
2087424.0,0.1606293423383354,25.186838789266798,0.0,17.45965974536474,0.591305625499258,39.979159273075204,19.535810119442647,321.26767151107117,219.10620358392177,11443.561023000011,1445.6698098620009
2156283.0,0.2006576033451827,30.091579154494294,0.0,19.67077707197196,0.691051046892695,65.44561562348707,71.68938555712114,418.3380258968337,231.44066848975925,12130.183916000009,1529.0166850480025
2272633.0,0.23823388990875463,36.78815296055183,0.0,21.80228434546664,0.8090746298394922,73.45232851656948,120.71369927904227,531.8987182563436,279.14225315471344,12191.296593999992,1534.4946643289993
2045444.0,0.10166672543903132,23.461072473844354,0.0,11.206620361675562,0.444192629731294,28.425494409958404,-85.82943605209819,167.59608335171862,190.3323321583385,11338.332523999998,1427.4222145979998
2050453.0,0.11589808086063108,27.43697674767502,0.0,12.735235510097073,0.488156633915515,31.525429563605247,-58.44090775425704,209.56037821353817,196.3036441464179,11290.704234999994,1425.2804177010012
2062165.0,0.13544137003032708,33.439350217772535,0.0,14.898461140781357,0.5512620177598845,35.24302127430168,-23.56063910887915,267.15660027232934,207.13640674835293,10985.999667000004,1383.004171531001
2091550.0,0.16095921491090834,40.33205872666753,0.0,17.12347183159709,0.6183122063401236,39.796267426952525,19.52512772142117,335.94086413442005,219.16393842778177,11557.494559,1459.3096618540014
2166209.0,0.20092553721800918,48.29307619085206,0.0,19.279476456038378,0.7180728644418374,64.41442081337087,71.66802152685642,434.6960849150237,231.04108992790594,11620.867747999997,1463.761171728999
2283375.0,0.23975549382411138,60.96478450363558,0.0,21.791833521378216,0.8468260640688536,73.89434839899783,120.68061008146934,556.717120339869,279.3855438343881,11815.374466000003,1487.8500941479992
